NUMERONODI 50
NUMEROARCHI 1225
KMASSIMO 6
NUMEROITERAZIONI 50
KMIGLIORI 10

Soluzione iniziale n 1
Soluzione:
L'ottimo locale trovato risulta quindi:
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 456, nodi 11-22, costo 2
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 899, nodi 24-49, costo 2
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 86


Soluzione iniziale n 9
Soluzione:
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree iniziale: 86

 Iterazione 1:
Aggiunto arco 4 e rimosso arco 23.
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 84

All'iterazione 2 non e' stata trovata soluzione migliore.
L'ottimo locale trovato risulta quindi:
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 84


Soluzione iniziale n 10
Soluzione:
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 169, nodi 4-29, costo 2
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 726, nodi 18-47, costo 4
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 879, nodi 24-29, costo 3
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree iniziale: 97

 Iterazione 1:
Aggiunto arco 187 e rimosso arco 726.
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 879, nodi 24-29, costo 3
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 93

Iterazione 2:
Aggiunto arco 157 e rimosso arco 879.
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 90

Iterazione 3:
Aggiunto arco 4 e rimosso arco 23.
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 88

Iterazione 4:
Aggiunto arco 205 e rimosso arco 216.
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 86

All'iterazione 5 non e' stata trovata soluzione migliore.
L'ottimo locale trovato risulta quindi:
Arco n 4, nodi 1-5, costo 0
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 205, nodi 5-20, costo 0
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 277, nodi 6-48, costo 0
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 432, nodi 10-37, costo 0
Arco n 467, nodi 11-33, costo 0
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 86


Soluzione iniziale n 11
Soluzione:
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 169, nodi 4-29, costo 2
Arco n 210, nodi 5-25, costo 3
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 251, nodi 6-22, costo 2
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 421, nodi 10-26, costo 3
Arco n 456, nodi 11-22, costo 2
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 726, nodi 18-47, costo 4
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 879, nodi 24-29, costo 3
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 899, nodi 24-49, costo 2
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree iniziale: 107

 Iterazione 1:
Aggiunto arco 187 e rimosso arco 726.
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 210, nodi 5-25, costo 3
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 251, nodi 6-22, costo 2
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 421, nodi 10-26, costo 3
Arco n 456, nodi 11-22, costo 2
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 879, nodi 24-29, costo 3
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 899, nodi 24-49, costo 2
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 103

Iterazione 2:
Aggiunto arco 157 e rimosso arco 879.
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 210, nodi 5-25, costo 3
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 251, nodi 6-22, costo 2
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 421, nodi 10-26, costo 3
Arco n 456, nodi 11-22, costo 2
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
Arco n 648, nodi 16-34, costo 10
Arco n 691, nodi 17-44, costo 1
Arco n 698, nodi 18-19, costo 1
Arco n 733, nodi 19-23, costo 3
Arco n 759, nodi 19-49, costo 1
Arco n 767, nodi 20-27, costo 1
Arco n 771, nodi 20-31, costo 0
Arco n 822, nodi 22-25, costo 1
Arco n 885, nodi 24-35, costo 9
Arco n 887, nodi 24-37, costo 0
Arco n 895, nodi 24-45, costo 3
Arco n 899, nodi 24-49, costo 2
Arco n 907, nodi 25-32, costo 2
Arco n 940, nodi 26-41, costo 0
Arco n 980, nodi 28-36, costo 0
Arco n 1023, nodi 30-38, costo 2
Arco n 1031, nodi 30-46, costo 6
Arco n 1083, nodi 33-44, costo 2
Arco n 1088, nodi 33-49, costo 0
Arco n 1137, nodi 37-40, costo 5
Arco n 1202, nodi 43-48, costo 0
Arco n 1225, nodi 49-50, costo 2
Costo spanning tree: 100

Iterazione 3:
Aggiunto arco 226 e rimosso arco 421.
Arco n 23, nodi 1-24, costo 2
Arco n 41, nodi 1-42, costo 3
Arco n 78, nodi 2-31, costo 1
Arco n 105, nodi 3-11, costo 4
Arco n 108, nodi 3-14, costo 6
Arco n 157, nodi 4-17, costo 0
Arco n 169, nodi 4-29, costo 2
Arco n 187, nodi 4-47, costo 0
Arco n 210, nodi 5-25, costo 3
Arco n 216, nodi 5-31, costo 2
Arco n 224, nodi 5-39, costo 3
Arco n 226, nodi 5-41, costo 0
Arco n 251, nodi 6-22, costo 2
Arco n 283, nodi 7-11, costo 1
Arco n 287, nodi 7-15, costo 2
Arco n 336, nodi 8-22, costo 1
Arco n 385, nodi 9-30, costo 2
Arco n 407, nodi 10-12, costo 2
Arco n 411, nodi 10-16, costo 2
Arco n 456, nodi 11-22, costo 2
Arco n 493, nodi 12-21, costo 2
Arco n 503, nodi 12-31, costo 2
Arco n 521, nodi 12-49, costo 0
Arco n 528, nodi 13-19, costo 0
Arco n 539, nodi 13-30, costo 1
Arco n 616, nodi 15-36, costo 1
Arco n 628, nodi 15-48, costo 0
